category,num_products,avg_actual_price,avg_discounted_price,avg_discount_percentage,avg_rating,total_reviews
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",2,2819.0,1804.0,29.5,3.6,1127
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",2,3035.0,2209.0,27.0,3.7,468
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",9,1178.3333333333333,722.6666666666666,31.77777777777778,4.0777777777777775,303
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",23,4563.347826086957,2402.1739130434785,48.04347826086956,4.052173913043478,5208
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",12,11738.166666666666,6323.333333333333,45.083333333333336,4.141666666666667,959
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,2,249.0,137.0,47.0,4.15,212
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,1,799.0,320.0,60.0,4.2,0
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,13,763.0769230769231,394.92769230769227,44.84615384615385,3.9923076923076923,913
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,1,495.0,199.0,60.0,4.1,0
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",1,499.0,244.0,51.0,3.3,478
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons",3,483.0,204.0,56.333333333333336,4.2,0
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",1,1500.0,1099.0,27.0,4.5,0
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",5,1478.6,1004.4,37.4,4.08,1489
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",1,5795.0,4799.0,17.0,3.9,0
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",3,799.0,519.0,41.333333333333336,3.733333333333333,636
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots",1,1299.0,599.0,54.0,4.2,590
Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines,4,4811.5,3391.75,40.5,3.65,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,1,4290.0,2599.0,39.0,4.4,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,5,12116.8,6276.4,44.0,4.46,136
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,10,1568.0,552.9,53.9,4.08,1173
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,2,869.5,519.0,23.5,4.3,7
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,11,1678.909090909091,812.7272727272727,52.90909090909091,4.290909090909091,2144
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,19,1570.842105263158,1000.5263157894736,41.68421052631579,4.057894736842105,1077
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,3,1631.0,984.0,42.0,4.233333333333333,550
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,10,3765.7,2113.9,44.9,4.05,1080
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,12,4466.333333333333,2745.0833333333335,44.166666666666664,3.891666666666667,231
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,2,5597.0,3499.0,52.5,3.7,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers,1,23999.0,12609.0,47.0,4.4,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,19,1846.6842105263158,1117.2631578947369,39.0,4.031578947368421,1070
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,13,1772.076923076923,971.1538461538462,44.23076923076923,3.9615384615384617,2969
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,2,4743.0,3683.83,21.5,3.8,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,8,2210.0,1285.375,41.875,4.0375,554
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,27,5289.592592592592,3004.7214814814815,43.96296296296296,4.011111111111111,1332
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills,2,5497.0,5149.0,9.5,4.25,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,3,1796.3333333333333,1564.3333333333333,13.0,4.333333333333333,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,5,3866.0,2651.8,31.8,3.96,731
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,1,2999.0,1999.0,33.0,4.4,388
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,11,2358.4545454545455,1465.5454545454545,32.36363636363637,4.1000000000000005,1158
